Compound,eta_cation,min_eta_anion,max_eta_anion,mean_eta_anion,std-dev_eta_anion,min_diff_eta,max_diff_eta,mean_diff_eta,std-dev_diff_eta,mean_eta_both,geom-mean_eta_both,eta_all,Formation_energy
OCN-CN-Pt,8.0,4.8,5.3,5.05,0.25,2.7,3.2,2.95,0.25,6.033333333333334,5.882144620073462,"[8.0, 4.8, 5.3]",0.6520989883
OCN-CN-Sr,16.3,4.8,5.3,5.05,0.25,11.0,11.5,11.25,0.25,8.8,7.457070296475237,"[16.3, 4.8, 5.3]",-0.530346055
OCN-CN-Zn,10.8,4.8,5.3,5.05,0.25,5.500000000000001,6.000000000000001,5.750000000000001,0.25,6.966666666666668,6.501001817972616,"[10.8, 4.8, 5.3]",0.23063916329999998
OCN-F-Ba,12.8,4.8,7.0,5.9,1.1,5.800000000000001,8.0,6.9,1.0999999999999996,8.200000000000001,7.548310368506454,"[12.8, 4.8, 7.0]",-1.746613234
OCN-F-Be,67.8,4.8,7.0,5.9,1.1,60.8,63.0,61.9,1.1000000000000014,26.53333333333333,13.157993183824823,"[67.8, 4.8, 7.0]",-1.1211969720000001
OCN-F-Ca,19.7,4.8,7.0,5.9,1.1,12.7,14.899999999999999,13.799999999999999,1.0999999999999996,10.5,8.715022269169168,"[19.7, 4.8, 7.0]",-1.7866646419999999
OCN-F-Cd,10.3,4.8,7.0,5.9,1.1,3.3000000000000007,5.500000000000001,4.4,1.1,7.366666666666667,7.020889977344058,"[10.3, 4.8, 7.0]",-0.7718799740000001
OCN-F-Co,8.2,4.8,7.0,5.9,1.1,1.1999999999999993,3.3999999999999995,2.2999999999999994,1.1,6.666666666666667,6.507053487110918,"[8.2, 4.8, 7.0]",-0.69394277
OCN-F-Cu,8.3,4.8,7.0,5.9,1.1,1.3000000000000007,3.500000000000001,2.400000000000001,1.1,6.7,6.533398120510765,"[8.3, 4.8, 7.0]",-0.436772444
OCN-F-Fe,7.3,4.8,7.0,5.9,1.1,0.2999999999999998,2.5,1.4,1.1,6.366666666666667,6.25970758091988,"[7.3, 4.8, 7.0]",-0.693145534
OCN-F-Mg,32.5,4.8,7.0,5.9,1.1,25.5,27.7,26.6,1.0999999999999996,14.766666666666666,10.297715269155372,"[32.5, 4.8, 7.0]",-1.535015594
OCN-F-Mn,9.3,4.8,7.0,5.9,1.1,2.3000000000000007,4.500000000000001,3.400000000000001,1.1,7.033333333333334,6.7858992694591995,"[9.3, 4.8, 7.0]",-1.0734545
OCN-F-Ni,8.5,4.8,7.0,5.9,1.1,1.5,3.7,2.6,1.1,6.766666666666667,6.585459264625677,"[8.5, 4.8, 7.0]",-0.7316900120000001
OCN-F-Pb,8.5,4.8,7.0,5.9,1.1,1.5,3.7,2.6,1.1,6.766666666666667,6.585459264625677,"[8.5, 4.8, 7.0]",-0.7733095940000001
OCN-F-Pd,6.8,4.8,7.0,5.9,1.1,-0.20000000000000018,2.0,0.8999999999999999,1.1,6.2,6.113398837379673,"[6.8, 4.8, 7.0]",-0.257704482
OCN-F-Pt,8.0,4.8,7.0,5.9,1.1,1.0,3.2,2.1,1.1,6.6000000000000005,6.453714584098176,"[8.0, 4.8, 7.0]",0.114981858
OCN-F-Sr,16.3,4.8,7.0,5.9,1.1,9.3,11.5,10.4,1.0999999999999996,9.366666666666667,8.181676316283179,"[16.3, 4.8, 7.0]",-1.779832296
OCN-F-Zn,10.8,4.8,7.0,5.9,1.1,3.8000000000000007,6.000000000000001,4.9,1.1,7.533333333333334,7.132706343315755,"[10.8, 4.8, 7.0]",-0.828736844
OCN-I-Ba,12.8,3.7,4.8,4.25,0.5499999999999998,8.0,9.100000000000001,8.55,0.5500000000000007,7.1000000000000005,6.103106900682494,"[12.8, 4.8, 3.7]",-1.175700336
OCN-I-Be,67.8,3.7,4.8,4.25,0.5499999999999998,63.0,64.1,63.55,0.5499999999999972,25.433333333333334,10.638756897753789,"[67.8, 4.8, 3.7]",-0.078566508
OCN-I-Ca,19.7,3.7,4.8,4.25,0.5499999999999998,14.899999999999999,16.0,15.45,0.5500000000000007,9.4,7.046439528041312,"[19.7, 4.8, 3.7]",-1.0685766
OCN-I-Cd,10.3,3.7,4.8,4.25,0.5499999999999998,5.500000000000001,6.6000000000000005,6.050000000000001,0.5499999999999998,6.266666666666667,5.676666694633998,"[10.3, 4.8, 3.7]",-0.22504269600000001
OCN-I-Co,8.2,3.7,4.8,4.25,0.5499999999999998,3.3999999999999995,4.499999999999999,3.9499999999999993,0.5499999999999998,5.566666666666666,5.2612096087080475,"[8.2, 4.8, 3.7]",0.076008338
OCN-I-Cu,8.3,3.7,4.8,4.25,0.5499999999999998,3.500000000000001,4.6000000000000005,4.050000000000001,0.5499999999999998,5.6000000000000005,5.28251028475992,"[8.3, 4.8, 3.7]",0.13329901
OCN-I-Fe,7.3,3.7,4.8,4.25,0.5499999999999998,2.5,3.5999999999999996,3.05,0.5499999999999998,5.266666666666667,5.061220679632149,"[7.3, 4.8, 3.7]",0.0010537860000000001
OCN-I-Mg,32.5,3.7,4.8,4.25,0.5499999999999998,27.7,28.8,28.25,0.5500000000000007,13.666666666666666,8.326109294957496,"[32.5, 4.8, 3.7]",-0.635813944
OCN-I-Mn,9.3,3.7,4.8,4.25,0.5499999999999998,4.500000000000001,5.6000000000000005,5.050000000000001,0.5499999999999998,5.933333333333334,5.486667431107146,"[9.3, 4.8, 3.7]",-0.405122346
OCN-I-Ni,8.5,3.7,4.8,4.25,0.5499999999999998,3.7,4.8,4.25,0.5499999999999998,5.666666666666667,5.32460377487803,"[8.5, 4.8, 3.7]",-0.04182099
OCN-I-Pb,8.5,3.7,4.8,4.25,0.5499999999999998,3.7,4.8,4.25,0.5499999999999998,5.666666666666667,5.32460377487803,"[8.5, 4.8, 3.7]",-0.302941278
OCN-I-Pd,6.8,3.7,4.8,4.25,0.5499999999999998,2.0,3.0999999999999996,2.55,0.5499999999999998,5.1000000000000005,4.942924284977264,"[6.8, 4.8, 3.7]",0.13435467199999998
OCN-I-Pt,8.0,3.7,4.8,4.25,0.5499999999999998,3.2,4.3,3.75,0.5499999999999998,5.5,5.218083000081814,"[8.0, 4.8, 3.7]",0.310118722
OCN-I-Sr,16.3,3.7,4.8,4.25,0.5499999999999998,11.5,12.600000000000001,12.05,0.5500000000000007,8.266666666666667,6.61520827142916,"[16.3, 4.8, 3.7]",-1.133757082
OCN-I-Zn,10.8,3.7,4.8,4.25,0.5499999999999998,6.000000000000001,7.1000000000000005,6.550000000000001,0.5499999999999998,6.433333333333334,5.767074640446399,"[10.8, 4.8, 3.7]",-0.134747164
OCN-NC-Ba,12.8,4.8,5.4,5.1,0.30000000000000027,7.4,8.0,7.7,0.2999999999999998,7.666666666666667,6.9227979374755595,"[12.8, 4.8, 5.4]",-0.6096224567
OCN-NC-Be,67.8,4.8,5.4,5.1,0.30000000000000027,62.4,63.0,62.7,0.3000000000000007,26.0,12.067618265188463,"[67.8, 4.8, 5.4]",0.07015281
OCN-NC-Ca,19.7,4.8,5.4,5.1,0.30000000000000027,14.299999999999999,14.899999999999999,14.599999999999998,0.2999999999999998,9.966666666666667,7.992826903591612,"[19.7, 4.8, 5.4]",-0.558467795
OCN-NC-Cd,10.3,4.8,5.4,5.1,0.30000000000000027,4.9,5.500000000000001,5.200000000000001,0.30000000000000027,6.833333333333333,6.4390837527282745,"[10.3, 4.8, 5.4]",0.21107103170000002
OCN-NC-Co,8.2,4.8,5.4,5.1,0.30000000000000027,2.799999999999999,3.3999999999999995,3.099999999999999,0.30000000000000027,6.133333333333333,5.967827799922309,"[8.2, 4.8, 5.4]",0.37925693829999996
OCN-NC-Cu,8.3,4.8,5.4,5.1,0.30000000000000027,2.9000000000000004,3.500000000000001,3.2000000000000006,0.30000000000000027,6.166666666666667,5.991989309566234,"[8.3, 4.8, 5.4]",0.48482127329999997
OCN-NC-Fe,7.3,4.8,5.4,5.1,0.30000000000000027,1.8999999999999995,2.5,2.1999999999999997,0.30000000000000027,5.833333333333333,5.740978923070791,"[7.3, 4.8, 5.4]",0.26821829
OCN-NC-Mg,32.5,4.8,5.4,5.1,0.30000000000000027,27.1,27.7,27.4,0.29999999999999893,14.233333333333333,9.444365499788661,"[32.5, 4.8, 5.4]",-0.3117825733
OCN-NC-Mn,9.3,4.8,5.4,5.1,0.30000000000000027,3.9000000000000004,4.500000000000001,4.200000000000001,0.30000000000000027,6.5,6.223566225168913,"[9.3, 4.8, 5.4]",0.36279359
OCN-NC-Ni,8.5,4.8,5.4,5.1,0.30000000000000027,3.0999999999999996,3.7,3.4,0.30000000000000027,6.233333333333334,6.039736257360679,"[8.5, 4.8, 5.4]",0.2603451867
