Compound,Formation_energy,E_above_hull,Hessian_eig_min_abs,C11,C22,C66,Thermo_stability_level,Dyn_stability_level,Thermo_Dyn_stability_level
Te-F-Lu,-2.35887923,0.175837877,0.250218944001805,24.31938263,24.31930751,-7.21353597,H,l,Hl
Te-F-Nd,-2.4806107,0.489864543,6.830189775705418e-06,43.05983398,43.05985333,15.38864838,M,h,Mh
Te-F-Rh,-1.056583357,0.13197440300000002,0.019771110842535498,54.44421822,54.44398177,16.45393516,H,m,Hm
Te-F-Ru,-0.66248429,0.473723331,0.02666243005270023,20.02362248,20.0235168,-12.63210314,M,l,Ml
Te-F-Sc,-2.29241852,0.41536314,4.635612330267477e-05,46.48817732,46.48789502,14.21484418,M,m,Mm
Te-F-Sm,-2.4649335,0.410847496,0.0019447151798064237,44.55813345,44.55795417,15.88681346,M,m,Mm
Te-F-Y,-2.474259267,0.269709787,0.00014223640724760176,42.87866111,42.87837597,13.23249613,M,m,Mm
Te-I-Al,-0.57157981,0.09003691800000001,3.0581346978369814e-05,10.36836439,10.36834627,-21.87781964,H,l,Hl
Te-I-Bi,-0.35465552,0.029045507,4.7557343347397965e-07,27.53173669,27.53173669,10.01145561,H,h,Hh
Te-I-Ce,-1.772369823,0.383961971,9.399237681528022e-07,22.76275108,22.48701146,8.28019303,M,h,Mh
Te-I-Co,-0.19736349,0.053316392,0.0007177109315351744,61.08151935,61.08127677,23.24962624,H,m,Hm
Te-I-Cr,-0.617428787,0.0,4.887827603988177e-06,24.62174548,24.62141315,7.48382135,H,h,Hh
Te-I-Fe,-0.06043622,0.240541997,1.1381109512652425e-05,35.84416882,35.84416882,15.400427300000002,M,m,Mm
Te-I-Ga,-0.303496717,0.169243683,8.45953036841979e-06,39.06067843,39.48225264,12.82259863,H,h,Hh
Te-I-Gd,-1.5245534230000002,0.0,0.0012359975333085034,27.00709732,27.00710971,10.34934838,H,m,Hm
Te-I-In,-0.471955293,0.091264253,0.00021745286982738395,10.84779796,8.38509924,-12.34786095,H,l,Hl
Te-I-Ir,-0.261591987,0.010607091,1.2360950744496642e-06,62.31169587,62.31128978,22.61021191,H,h,Hh
Te-I-La,-1.710752677,0.078736985,8.068655932109372e-06,21.10101208,21.10101208,7.92512454,H,h,Hh
Te-I-Lu,-1.484029587,0.0,0.043090984160274515,35.22918,35.2292,13.21918,H,m,Hm
Te-I-Nd,-1.605632507,0.065006515,4.7030077189797363e-07,23.668039999999998,23.66806,8.98356,H,h,Hh
Te-I-Rh,-0.469385617,0.0,0.00010865460125407023,52.73056126,52.72774183,18.69470468,H,m,Hm
Te-I-Ru,-0.074074513,0.210719989,2.203981491461721e-05,51.5042311,51.5042311,17.2711203,M,m,Mm
Te-I-Sc,-1.402499097,0.0,1.0475263072636565e-07,35.123740000000005,35.123740000000005,13.62752,H,h,Hh
Te-I-Sm,-1.58766072,0.0,1.362536706079235e-06,26.68849217,26.68849217,10.0891588,H,h,Hh
Te-I-Y,-1.6080752930000002,0.0,1.5008823000827274e-05,29.004620000000003,28.83052,10.86014,H,m,Hm
