Compound,Hessian_eig_min_abs
NH-NCO-Fe,0.00010310685463860042
NH-NCO-Ga,0.0002591761191691143
NH-NCO-Gd,0.00014032110562200653
NH-NCO-In,7.529855740543738e-05
NH-NCO-Ir,0.000299547769901183
NH-NCO-La,0.0008365743708634373
NH-NCO-Lu,0.24055462177747092
NH-NCO-Nd,0.00019837877019533658
NH-NCO-Rh,4.7119304898816604e-05
NH-NCO-Ru,2.8568015005915918e-05
NH-NCO-Sc,9.393004110723639e-05
NH-NCO-Sm,1.801695723034977e-05
NH-NCO-Y,0.00011371320390248439
NH-NC-Rh,7.31213300782295e-06
NH-NC-Ru,0.00012296073906902763
NH-NCS-Al,8.769473209352116e-05
NH-NCS-Bi,1.033911271417073e-05
NH-NC-Sc,2.3358078320538154e-05
NH-NCS-Ce,3.2183512261453674e-05
NH-NCS-Co,0.000132654878887115
NH-NCS-Cr,1.159861312925693e-05
NH-NCS-Fe,1.1366400812955469e-05
NH-NCS-Ga,0.00023269852266219698
NH-NCS-Gd,2.189270997817632e-05
NH-NCS-In,4.2969559073400945e-05
NH-NCS-Ir,0.0007189697098870428
NH-NCS-La,0.0002026932829962873
NH-NCS-Lu,0.12991445138708504
NH-NC-Sm,0.0001573854369947863
NH-NCS-Nd,7.843545417011377e-05
NH-NCS-Rh,0.00015490441377257543
NH-NCS-Ru,4.810384583255452e-06
NH-NCS-Sc,1.032693191819428e-05
NH-NCS-Sm,4.956002948427616e-05
NH-NCS-Y,0.0005205472812039025
NH-NC-Y,6.27423922543501e-06
NH-NO-Al,9.041386434462722e-05
NH-NO-Bi,0.00012662842041902966
NH-NO-Ce,5.348004406158533e-05
NH-NO-Co,0.0001608850888619193
NH-NO-Cr,8.518820778256795e-05
NH-NO-Fe,6.185382688399619e-06
NH-NO-Ga,0.00018139940209112876
NH-NO-Gd,7.277005379676591e-05
NH-NO-In,3.2204834274199e-05
NH-NO-Ir,2.7443238667035982e-05
NH-NO-La,0.00015887453625310113
NH-NO-Lu,0.0003177251015455561
NH-NO-Nd,0.0005627981440902
NH-NO-Rh,0.00013343522303818403
NH-NO-Ru,5.7333266226892204e-05
NH-NO-Sc,1.9552104529466505e-05
NH-NO-Sm,2.2463933912555825e-05
NH-NO-Y,1.0882797995066797e-05
NH-OCN-Al,0.0003769324338557534
NH-OCN-Bi,1.6171213194001378e-05
NH-OCN-Ce,7.113994147105857e-05
NH-OCN-Co,0.00012980881783286447
NH-OCN-Cr,5.164319327726757e-05
NH-OCN-Fe,3.089742177699143e-05
NH-OCN-Ga,3.721814087765571e-05
NH-OCN-Gd,0.00033606841963874175
NH-OCN-In,0.00014631434570929855
NH-OCN-Ir,0.0001293651626357215
NH-OCN-La,0.00011324329371806465
NH-OCN-Lu,0.3208541985568869
NH-OCN-Nd,9.571274881765732e-05
NH-OCN-Rh,0.00022139437546801944
NH-OCN-Ru,0.0003618546747940724
NH-OCN-Sc,0.0001362001107441991
NH-OCN-Sm,6.80237769908885e-05
NH-OCN-Y,0.00019703950012462998
NH-SCN-Al,1.7989286975335905e-07
NH-SCN-Bi,3.279415003731315e-05
NH-SCN-Ce,7.801589223574424e-05
NH-SCN-Co,0.00023275055896239047
NH-SCN-Cr,0.0006926821273243944
NH-SCN-Fe,9.73898100898962e-06
NH-SCN-Ga,7.622793323243847e-05
NH-SCN-Gd,0.00012193079220853504
NH-SCN-In,0.000368355302547628
NH-SCN-Ir,2.2252649864317412e-05
NH-SCN-La,0.0001204737932934505
NH-SCN-Lu,0.004685566472740905
NH-SCN-Nd,2.9350151713337096e-05
NH-SCN-Rh,5.358274280736529e-05
NH-SCN-Ru,1.2870218813931584e-05
NH-SCN-Sc,4.544585428238148e-06
NH-SCN-Sm,0.0004538073198674873
NH-SCN-Y,0.00025983490605804393
NH-SH-Al,7.3881246944046035e-06
NH-SH-Bi,1.0488498645159086e-05
NH-SH-Ce,0.0001918104297540242
NH-SH-Co,0.0003551069781436154
NH-SH-Cr,1.689873608844852e-05
NH-SH-Fe,5.741552042141591e-06
NH-SH-Ga,0.0001701123637629517
NH-SH-Gd,0.0002810281238869604
NH-SH-In,5.040726261259128e-05
NH-SH-Ir,8.237372453567278e-06
NH-SH-La,0.0043853350810696265
NH-SH-Lu,0.03982788777605083
NH-SH-Nd,4.4688985131521344e-06
NH-SH-Rh,2.270912315716064e-05
NH-SH-Ru,2.5961089058822e-05
NH-SH-Sc,1.788162761232998e-05
NH-SH-Sm,4.563425123957838e-05
NH-SH-Y,7.55908196027689e-05
O-Br-Al,0.00032862639749888694
O-Br-Bi,8.922101549807042e-05
O-Br-Ce,9.056415080410273e-05
O-Br-Co,0.0005325536815526599
O-Br-Cr,0.0002790906362958048
O-Br-Fe,0.0003749659525420341
O-Br-Ga,1.8582250774722744e-05
O-Br-Gd,1.0455366490722086e-05
O-Br-In,5.739725225026544e-05
O-Br-Ir,1.4646363536520768e-05
O-Br-La,1.9440386618659244e-05
O-Br-Lu,0.5228331985174066
O-Br-Nd,0.00021468203531914388
O-Br-Rh,0.00019239268054157475
O-Br-Ru,3.7573011058998336e-05
O-Br-Sc,3.152955527585514e-05
O-Br-Sm,3.062001324639276e-05
O-Br-Y,6.111815093038528e-06
O-Cl-Al,0.00018691153353194513
O-Cl-Bi,3.778982630177626e-05
O-Cl-Ce,7.346219464324058e-07
O-Cl-Co,0.0001688869932539268
O-Cl-Cr,0.00019815127635035529
O-Cl-Fe,0.00013359925690528161
O-Cl-Ga,0.00016693694361626842
O-Cl-Gd,4.195721720412026e-05
O-Cl-In,0.00021180188713866457
O-Cl-Ir,2.1237512943312754e-05
O-Cl-La,9.289860352523835e-05
O-Cl-Lu,0.8479452232957307
O-Cl-Nd,5.799150507425213e-05
O-Cl-Rh,1.7806958744859092e-05
O-Cl-Ru,2.171953476455091e-05
O-Cl-Sc,3.802289124394084e-05
O-Cl-Sm,1.5048062198370282e-05
O-Cl-Y,6.025542418051976e-05
O-CN-Al,0.00011136279623360929
O-CN-Bi,0.00014776307802299532
O-CN-Ce,0.0003332263241279513
O-CN-Co,4.2828084817505115e-05
O-CN-Cr,4.7893115864739946e-05
O-CN-Fe,7.876584021431786e-05
O-CN-Ga,0.0005559243875725284
O-CN-Gd,3.8386082871641754e-05
O-CN-In,6.153262705447045e-05
O-CN-Ir,0.00025879466181812327
O-CN-La,0.0001747769702742307
O-CN-Lu,0.1699052817276463
O-CN-Nd,2.4568097027976798e-05
O-CN-Rh,2.2801580041658125e-05
O-CN-Ru,4.571734278661237e-05
O-CN-Sc,0.0004871615230764006
O-CN-Sm,3.346899504213534e-05
O-CN-Y,0.00010984284117463885
O-F-Al,5.7042922540270996e-05
O-F-Bi,0.0001231967892925716
O-F-Ce,0.00011632521110599746
O-F-Co,9.358071901970128e-05
O-F-Cr,2.5986152779876347e-05
O-F-Fe,0.0011561187060734393
O-F-Ga,0.0006386865593997463
O-F-Gd,0.0013595976954561397
O-F-In,0.00019340635879876506
O-F-Ir,3.4179478682843895e-06
O-F-La,3.6936545954052583e-06
O-F-Lu,1.0399603459435454
O-F-Nd,7.211584391551701e-05
O-F-Rh,0.0002684248302648209
O-F-Ru,0.00015438410547540744
