Compound,Formation_energy,E_above_hull,Thermo_stability_level
Se-OH-In,-0.8493985999999999,0.23232187199999998,M
Se-OH-Ir,-0.53869928,0.19808259399999997,H
Se-OH-La,-1.9051742680000001,0.342531099,M
Se-OH-Lu,-1.848020385,0.442585315,M
Se-OH-Nd,-1.836445185,0.34521697,M
Se-OH-Rh,-0.754634675,0.061065913,H
Se-OH-Ru,-0.5018174679999999,0.33125610699999997,M
Se-OH-Sc,-1.785366235,0.310784901,M
Se-OH-Sm,-1.840636505,0.36225935299999995,M
Se-OH-Y,-1.886815295,0.31916495899999997,M
Te-OH-Al,-0.789970385,0.9393133090000001,M
Te-OH-Bi,-0.636479185,0.139778405,H
Te-OH-Ce,-1.7361060730000002,0.778047629,M
Te-OH-Co,-0.584907168,0.320270121,M
Te-OH-Cr,-0.951367128,0.42155643299999995,M
Te-OH-Fe,-0.614657215,0.29861179600000004,M
Te-OH-Ga,-0.499394113,0.643563504,M
Te-OH-Gd,-1.6370476680000001,0.262513503,M
Te-OH-In,-0.644713518,0.41661941,M
Te-OH-Ir,-0.469948973,0.30784301399999997,M
Te-OH-La,-1.7010253180000001,0.5809212570000001,M
Te-OH-Lu,-1.57761889,0.5909928879999999,M
Te-OH-Nd,-1.6286012230000002,0.509506308,M
Te-OH-Rh,-0.699554725,0.196631996,H
Te-OH-Ru,-0.39863615799999996,0.449085735,M
Te-OH-Sc,-1.532716545,0.575791646,M
Te-OH-Sm,-1.611785848,0.543753965,M
Te-OH-Y,-1.6297806069999998,0.55193969,M
Br-Br-Ba,-2.4935522430000003,0.141755495,H
Br-Br-Be,-1.00107567,0.284542583,M
Br-Br-Ca,-2.408886073,0.009317942,H
Br-Br-Cd,-1.12488076,0.015358677,H
Br-Br-Co,-0.59269749,0.11235710800000001,H
Br-Br-Cu,-0.444974077,0.10738444300000001,H
Br-Br-Fe,-0.57120809,0.27458567,M
Br-Br-Mg,-1.81993074,0.014185383000000001,H
Br-Br-Mn,-1.35089445,0.084823447,H
Br-Br-Ni,-0.8670527029999999,0.016199977,H
Br-Br-Pb,-1.0722466929999999,0.00647048,H
Br-Br-Pd,-0.466661083,0.06547579,H
Br-Br-Pt,-0.12649545,0.303848739,M
Br-Br-Sr,-2.475157233,0.060533425999999994,H
Br-Br-Zn,-1.04212917,0.080833921,H
Cl-Cl-Ba,-2.74706322,0.17158579,H
Cl-Cl-Be,-1.381516973,0.279241867,M
Cl-Cl-Ca,-2.700026053,0.03638235,H
Cl-Cl-Cd,-1.316909493,0.01540149,H
Cl-Cl-Co,-0.82437527,0.17565562699999998,H
Cl-Cl-Cu,-0.631530977,0.11749502,H
Cl-Cl-Fe,-0.8690234370000001,0.208393053,M
Cl-Cl-Mg,-2.157338273,0.014059973,H
Cl-Cl-Mn,-1.60051932,0.09957695300000001,H
Cl-Cl-Ni,-1.130073327,0.012586817,H
Cl-Cl-Pb,-1.2318973999999998,0.034116627999999996,H
Cl-Cl-Pd,-0.59967014,0.077292456,H
Cl-Cl-Pt,-0.197500557,0.34751029299999997,M
Cl-Cl-Sr,-2.750298233,0.106054787,H
Cl-Cl-Zn,-1.296597147,0.051582557,H
CN-CN-Ba,-0.131028746,0.615304498,M
CN-CN-Be,0.766575826,1.208571323,L
CN-CN-Ca,-0.043531204000000004,0.802422975,M
CN-CN-Cd,0.738099994,0.756654733,L
CN-CN-Co,0.8846393659999999,0.888924587,L
CN-CN-Cu,1.028019308,1.0323045020000001,L
CN-CN-Fe,0.833386562,0.8943341770000001,L
CN-CN-Mg,0.292618872,0.932482626,L
CN-CN-Mn,0.7066928720000001,0.890966035,L
CN-CN-Ni,0.9228661659999999,0.9271478459999999,L
CN-CN-Pb,0.7613786,0.765655401,L
CN-CN-Pd,0.9133168740000001,0.917596758,L
CN-CN-Pt,0.9778833859999999,0.982159227,L
CN-CN-Sr,-0.100964206,0.709726657,M
CN-CN-Zn,0.75543406,0.8900081609999999,L
F-F-Ba,-3.86411582,0.274655883,M
F-F-Be,-3.186598387,0.299741853,M
F-F-Ca,-4.035629393,0.210818317,M
F-F-Cd,-2.28580987,0.15824359,H
F-F-Co,-2.17949004,0.057505115,H
F-F-Cu,-1.627648177,0.234172187,M
F-F-Fe,-2.16979648,0.204965377,M
F-F-Mg,-3.694654823,0.149489887,H
F-F-Mn,-2.624683923,0.34138440200000003,M
F-F-Ni,-2.2081496030000003,0.129394308,H
F-F-Pb,-2.26214717,0.203337897,M
F-F-Pd,-1.292792517,0.091016015,H
F-F-Pt,-0.5576377229999999,0.6293711329999999,M
F-F-Sr,-3.996495597,0.244533227,M
F-F-Zn,-2.428196,0.12391659699999999,H
I-I-Ba,-1.94415893,0.089390477,H
I-I-Be,-0.346379823,0.29454599800000003,M
I-I-Ca,-1.812911573,0.01547907,H
I-I-Cd,-0.649644023,0.017246379,H
I-I-Co,-0.15173305,0.01799117,H
I-I-Cu,-0.032776833,0.08624256699999999,H
I-I-Fe,-0.06831970700000001,0.23744741,M
I-I-Mg,-1.18340106,0.015307643000000001,H
I-I-Mn,-0.812479603,0.07068151,H
I-I-Ni,-0.346231797,0.018735507,H
I-I-Pb,-0.65550436,0.018446166,H
I-I-Pd,-0.15278374,0.13988494699999998,H
I-I-Pt,0.06681862,0.285737116,M
I-I-Sr,-1.9020053369999999,0.020355038,H
I-I-Zn,-0.5031786770000001,0.14171972,H
NC-NC-Ba,-0.237819972,0.508513271,M
NC-NC-Be,0.56288523,1.004880727,L
NC-NC-Ca,-0.213145098,0.632809081,M
NC-NC-Cd,0.675646876,0.694201614,L
NC-NC-Co,0.818935042,0.823220263,L
NC-NC-Cu,1.06401717,1.068302364,L
NC-NC-Fe,0.7928373959999999,0.8537850109999999,L
NC-NC-Mg,0.090249556,0.73011331,M
NC-NC-Mn,0.488854444,0.6731276070000001,L
NC-NC-Ni,0.7697661920000001,0.774047872,L
NC-NC-Pb,0.732690686,0.736967487,L
NC-NC-Pd,1.2178595540000001,1.222139438,L
NC-NC-Pt,1.429890228,1.434166069,L
NC-NC-Sr,-0.238937636,0.571753227,M
NC-NC-Zn,0.672424268,0.8069983690000001,L
NCO-NCO-Ba,-1.080459394,0.277471513,M
NCO-NCO-Be,-0.693205376,0.47400491299999997,M
NCO-NCO-Ca,-1.145771791,0.23948620399999998,M
NCO-NCO-Cd,-0.551412496,0.184299422,H
NCO-NCO-Co,-0.48913223899999997,0.225074792,M
NCO-NCO-Cu,-0.294966473,0.27650893600000004,M
NCO-NCO-Fe,-0.508954647,0.21986039100000002,M
NCO-NCO-Mg,-0.98301524,0.269212636,M
NCO-NCO-Mn,-0.730334519,0.25436638899999997,M
NCO-NCO-Ni,-0.537234206,0.190026355,H
NCO-NCO-Pb,-0.46728131700000003,0.243249994,M
NCO-NCO-Pd,-0.258601944,0.312869672,M
NCO-NCO-Pt,-0.07070324,0.500765489,M
NCO-NCO-Sr,-1.124082456,0.267043742,M
NCO-NCO-Zn,-0.582305224,0.233794845,M
NCS-NCS-Ba,-0.465582216,0.239984466,M
NCS-NCS-Be,0.152451044,0.5146825110000001,M
NCS-NCS-Ca,-0.487276406,0.218694923,M
NCS-NCS-Cd,0.131940328,0.35283253600000003,M
NCS-NCS-Co,0.29979390699999997,0.530733974,L
NCS-NCS-Cu,0.36770152100000003,0.44913869700000003,L
NCS-NCS-Fe,0.23437298899999998,0.499950778,L
NCS-NCS-Mg,-0.256073593,0.23017038399999998,M
NCS-NCS-Mn,0.021968821,0.359969561,M
NCS-NCS-Ni,0.212432738,0.41582453700000005,L
NCS-NCS-Pb,0.160884737,0.326703382,M
NCS-NCS-Pd,0.39660568399999996,0.556714289,L
NCS-NCS-Pt,0.571948549,0.803245379,L
NCS-NCS-Sr,-0.488081053,0.219483285,M
NCS-NCS-Zn,0.146936424,0.421630051,M
NO-NO-Ba,-0.43335988799999997,0.875353666,M
NO-NO-Be,-0.09661036,1.176168464,M
NO-NO-Ca,-0.44687235399999997,1.014594739,M
NO-NO-Cd,0.321854772,0.8668531890000001,L
NO-NO-Co,-0.080480816,0.6785319740000001,M
NO-NO-Cu,0.16781645,0.567872995,M
NO-NO-Fe,-0.09524522,0.744438045,M
NO-NO-Mg,-0.107160786,1.1579687,M
NO-NO-Mn,-0.183261442,1.150624111,M
NO-NO-Ni,-0.058668182,0.545772756,M
NO-NO-Pb,0.311638542,0.915111993,L
NO-NO-Pd,0.12765372,0.456975074,M
NO-NO-Pt,0.17974352600000001,0.641598007,M
NO-NO-Sr,-0.433841184,0.9681855559999999,M
NO-NO-Zn,0.178235084,0.885156782,M
OCN-OCN-Ba,-0.813351934,0.544578973,M
OCN-OCN-Be,-0.281486501,0.885723787,M
