Compound,Class,Bandgap,Bandgap_nature,Kpoints_edge
PH-SCN-Bi,Non-metal,1.0959,Indirect,"(0.048,-0.000,0.000)-(-0.000,0.476,0.000)"
PH-SCN-Ce,Non-metal,1.5503,Indirect,"(0.000,0.000,0.000)-(0.000,0.476,-0.000)"
PH-SCN-Co,Non-metal,1.0594999999999999,Indirect,"(0.048,-0.000,0.000)-(0.381,0.000,0.000)"
PH-SCN-Cr,Metal,0.0,NA,NA
PH-SCN-Fe,Metal,0.0,NA,NA
PH-SCN-Ga,Non-metal,1.4818,Indirect,"(0.238,-0.000,0.000)-(-0.476,0.476,-0.000)"
PH-SCN-Gd,Non-metal,1.7366000000000001,Indirect,"(0.000,0.000,0.000)-(-0.476,0.476,0.000)"
PH-SCN-In,Non-metal,1.5379999999999998,Indirect,"(0.238,0.000,0.000)-(0.000,0.000,0.000)"
PH-SCN-Ir,Non-metal,2.219,Indirect,"(-0.238,0.095,-0.000)-(0.286,0.000,0.000)"
PH-SCN-La,Non-metal,1.7516,Indirect,"(0.333,0.333,0.000)-(0.476,-0.000,0.000)"
PH-SCN-Lu,Non-metal,1.3385999999999998,Indirect,"(0.000,0.000,0.000)-(0.500,0.500,0.000)"
PH-SCN-Nd,Non-metal,1.5663,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
PH-SCN-Rh,Non-metal,1.5642,Indirect,"(0.095,0.095,0.000)-(0.333,0.333,0.000)"
PH-SCN-Ru,Metal,0.0,NA,NA
PH-SCN-Sc,Non-metal,1.0127,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
PH-SCN-Sm,Non-metal,1.2249999999999999,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,0.000)"
PH-SCN-Y,Non-metal,1.8169000000000002,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,-0.000)"
PH-SH-Al,Non-metal,2.0465999999999998,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,-0.000)"
PH-SH-Bi,Non-metal,0.4300999999999999,Indirect,"(0.333,0.333,-0.000)-(0.000,0.000,0.000)"
PH-SH-Ce,Non-metal,1.7822,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,-0.000)"
PH-SH-Co,Non-metal,0.9757,Indirect,"(0.000,0.000,0.000)-(0.333,-0.000,0.000)"
PH-SH-Cr,Metal,0.0,NA,NA
PH-SH-Fe,Metal,0.0,NA,NA
PH-SH-Ga,Non-metal,1.6414,Indirect,"(0.190,-0.000,0.000)-(0.476,-0.000,0.000)"
PH-SH-Gd,Non-metal,1.7664,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
PH-SH-In,Non-metal,1.594,Indirect,"(0.143,0.000,0.000)-(0.000,0.000,0.000)"
PH-SH-Ir,Non-metal,2.1765,Indirect,"(0.143,0.095,0.000)-(0.286,0.000,0.000)"
PH-SH-La,Non-metal,2.1772,Indirect,"(0.333,0.333,0.000)-(0.476,-0.000,0.000)"
PH-SH-Lu,Non-metal,1.7779999999999998,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
PH-SH-Nd,Non-metal,1.912,Indirect,"(0.000,0.000,0.000)-(0.476,0.000,0.000)"
PH-SH-Rh,Non-metal,1.6867,Indirect,"(0.095,0.095,0.000)-(0.333,0.000,0.000)"
PH-SH-Ru,Metal,0.0,NA,NA
PH-SH-Sc,Non-metal,1.2454,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,0.000)"
PH-SH-Sm,Non-metal,1.9503,Indirect,"(0.000,0.000,0.000)-(-0.476,0.476,0.000)"
PH-SH-Y,Non-metal,1.8641999999999999,Indirect,"(0.000,0.000,0.000)-(0.476,-0.000,0.000)"
S-Br-Al,Non-metal,3.3159,Indirect,"(0.048,-0.000,0.000)-(0.476,-0.000,0.000)"
