Compound,Elements,Element_numbers,H_f,E_total,#_atoms
Ce2SeF4,"['Ce', 'Se', 'F']","[2, 1, 4]",-3.522391668571428,-147.88543727,7
Ce2Te3,"['Ce', 'Te']","[8, 12]",-1.2036172829999998,-825.73554566,20
Ce2Te4O11,"['Ce', 'Te', 'O']","[4, 8, 22]",-1.9006415250000026,-675.00769085,34
Ce3S3N,"['Ce', 'S', 'N']","[12, 12, 4]",-1.5621559183571452,-731.64940347,28
Ce3Se4,"['Ce', 'Se']","[6, 8]",-1.500713834999999,-449.21413121,14
Ce4Te3N2,"['Ce', 'Te', 'N']","[16, 12, 8]",-1.1341610188888909,-1273.66478468,36
CeBr3,"['Ce', 'Br']","[2, 6]",-1.9738116287499992,-219.92463403,8
CeCl3,"['Ce', 'Cl']","[2, 6]",-2.3414668375000005,-155.1691237,8
CeClO,"['Ce', 'Cl', 'O']","[2, 2, 2]",-3.4184905033333357,-137.78539502,6
CeF3,"['Ce', 'F']","[6, 18]",-4.082774414166664,-428.38068874,24
CeH2,"['Ce', 'H']","[1, 2]",-0.5832459433333336,-53.27003783,3
CeH3,"['Ce', 'H']","[1, 3]",-0.5742992875000006,-57.27124715,4
CeH3C3O6,"['Ce', 'H', 'C', 'O']","[1, 3, 3, 6]",-1.4705858346153842,-141.30468585,13
CeH3O3,"['Ce', 'H', 'O']","[2, 6, 6]",-1.8874262978571426,-173.30683517,14
CeHSe,"['Ce', 'H', 'Se']","[2, 2, 2]",-1.1589510666666645,-143.21864078,6
CeHSO5,"['Ce', 'H', 'S', 'O']","[4, 4, 4, 20]",-2.1710916480625,-423.33060399,32
CeI,"['Ce', 'I']","[1, 1]",-0.978332530000003,-83.24266756,2
CeI3,"['Ce', 'I']","[2, 6]",-1.4728310312500028,-321.04746325,8
CeI3O9,"['Ce', 'I', 'O']","[4, 12, 36]",-1.0569755378846144,-895.10095997,52
CeN,"['Ce', 'N']","[1, 1]",-1.6717596649999997,-57.23999283,2
CeP,"['Ce', 'P']","[1, 1]",-1.665004145000001,-58.35105043,2
CeP3O9,"['Ce', 'P', 'O']","[2, 6, 18]",-2.676679591923077,-332.07302323,26
CeP5,"['Ce', 'P']","[4, 20]",-0.3851680537500002,-395.86007609,24
CeP5O14,"['Ce', 'P', 'O']","[2, 10, 28]",-2.5364696890000005,-467.12905496,40
CePO4,"['Ce', 'P', 'O']","[4, 4, 16]",-3.0922169375000004,-392.79008706,24
CePS,"['Ce', 'P', 'S']","[8, 8, 8]",-1.2923254419166692,-548.13131023,24
CePS4,"['Ce', 'P', 'S']","[8, 8, 32]",-1.0336760486250018,-797.57343747,48
CeS,"['Ce', 'S']","[1, 1]",-2.2655762935000006,-58.7623479,2
