"Compound","C11","C22","C12","C66"
"Te-OH-Sm",48.29056711,48.29045445,13.79682206,17.24684435
"Te-OH-Y",43.80739722,43.80727708,16.6026372,13.60234997
"Br-Br-Ba",15.22025103,15.22025103,4.14109769,5.53957667
"Br-Br-Be",48.89419972,48.89418124,27.10356805,10.89529734
"Br-Br-Ca",21.59265089,21.59261215,4.76315484,8.41472865
"Br-Br-Cd",25.64118262,25.64114384,9.14525959,8.24795181
"Br-Br-Co",47.62857137,47.62851625,15.79007158,15.91924071
"Br-Br-Cu",24.36406307,24.36404398,21.01855193,1.67276511
"Br-Br-Fe",61.72547319,61.72543718,10.51021205,25.60761256
"Br-Br-Mg",34.52469541,34.52467605,9.43143917,12.54661843
"Br-Br-Mn",33.29522467,33.29520613,19.96334759,6.66593854
"Br-Br-Ni",26.41550297,26.41548427,22.17901116,2.11823655
"Br-Br-Pb",15.88806591,15.88804639,4.65018753,5.61893919
"Br-Br-Pd",10.02902082,10.02902082,15.26608484,-2.618532
"Br-Br-Pt",4.65768256,4.65768256,19.52216454,-7.43224098
"Br-Br-Sr",17.28238147,17.28236237,3.78273452,6.74981392
"Br-Br-Zn",37.27637256,37.2763341,18.02857603,9.62388865
"Cl-Cl-Ba",18.00651953,18.00650218,4.39100834,6.80775559
"Cl-Cl-Be",58.03583261,58.03579725,31.20028394,13.41775665
"Cl-Cl-Ca",25.558602,25.55858357,5.66681618,9.94589291
"Cl-Cl-Cd",27.10396841,27.10394958,9.08094984,9.01150928
"Cl-Cl-Co",50.104297,50.10426156,18.96093412,15.57167257
"Cl-Cl-Cu",25.82736566,25.82738394,22.84863905,1.4893633
"Cl-Cl-Fe",70.35517981,70.35514497,14.65763039,27.84875728
"Cl-Cl-Mg",39.99758585,39.99754882,10.45133973,14.7731138
"Cl-Cl-Mn",27.58327798,27.58325999,26.90363397,0.339822
"Cl-Cl-Ni",21.74216023,21.74216023,31.93554033,-5.09669005
"Cl-Cl-Pb",16.49621978,16.49621978,3.63134671,6.43244607
"Cl-Cl-Pd",-3.87826382,-3.87826382,14.37857672,-9.12842027
"Cl-Cl-Pt",-9.64941392,-9.64941392,20.13167299,-14.89055271
"Cl-Cl-Sr",21.28537647,21.28535851,4.4738493,8.4057546
"Cl-Cl-Zn",40.558878,40.55885945,19.71452667,10.42217566
"CN-CN-Ba",22.1902543,22.19023772,6.23529862,7.97747784
"CN-CN-Be",42.73682141,42.73680499,42.31498937,0.21090781
"CN-CN-Ca",32.91993026,32.91989353,7.45357292,12.73316948
"CN-CN-Cd",37.95906089,37.95904285,14.45985325,11.74958578
"CN-CN-Co",39.85068226,39.85066563,0.98815922,19.4312532
"CN-CN-Cu",20.08028588,20.08026892,26.26082509,-3.09027808
"CN-CN-Fe",60.51503332,60.51501658,25.27904649,17.61799341
"CN-CN-Mg",41.46607194,41.46603681,14.69314594,13.38645421
"CN-CN-Mn",81.63494489,81.63494489,0.0754654,40.77973079
"CN-CN-Ni",-34.00530687,-34.00527362,102.93497353,-68.47012358
"CN-CN-Pb",26.68518172,26.68514417,10.65830813,8.0134274
"CN-CN-Pd",30.7844996,30.7844996,43.91094931,-6.56323353
"CN-CN-Pt",40.63930908,40.63929173,42.6226728,-0.99169053
"CN-CN-Sr",27.08926579,27.08924712,6.7182804,10.18549269
"CN-CN-Zn",44.35673559,44.35671829,26.23733444,9.05970057
"F-F-Ba",36.21364556,36.21360599,14.19538807,11.00912215
"F-F-Be",99.18654022,99.18649725,45.54422813,26.82114888
"F-F-Ca",54.45727272,54.45722679,15.19804715,19.62960513
"F-F-Cd",49.05877126,49.0587556,18.54062687,15.25906436
"F-F-Co",48.82835584,48.82834128,32.58137667,8.1234823
"F-F-Cu",14.40588534,14.40587083,64.34551771,-24.96981618
"F-F-Fe",62.70250098,62.70250098,16.85799754,22.92225171
"F-F-Mg",72.78395745,72.78395745,16.28455059,28.24970342
"F-F-Mn",12.60976314,12.60977928,33.37323829,-10.3817295
"F-F-Ni",54.70190026,54.70185694,37.12620044,8.78783546
"F-F-Pb",36.75905983,36.75902977,13.47898237,11.64003121
"F-F-Pd",0.58956078,0.58956078,76.69170076,-38.05107709
"F-F-Pt",26.54506307,26.54504971,82.70790782,-28.08142237
"F-F-Sr",46.30950339,46.30944637,13.20945344,16.55001356
