Compound,Hessian_eig_min_abs,C11,C22,C66,Dyn_stability_level
Se-OH-Cr,4.46648708482448e-05,73.26874165,73.26864663,28.84037443,m
Se-OH-Fe,0.0004382119719697501,47.58200397,47.58193052,2.76312542,m
Se-OH-Ga,0.00012029106094911272,33.47929985,33.47923959,-4.27345059,l
Se-OH-Gd,0.00014854291550187794,52.43666871,52.43666871,18.75178338,m
Se-OH-In,3.076834775854276e-05,-273.98417189,-273.98422821,-304.98190028,l
Se-OH-Ir,6.4930301362781194e-06,79.07406385,79.07385581,26.08466914,h
Se-OH-La,0.0017986213662600336,39.93399512,39.93384025,13.28536487,m
Se-OH-Lu,0.2103177941446852,51.94189168,51.94191179999999,17.38341055,m
Se-OH-Nd,1.6194217619322493e-05,46.69434362,46.6942643,16.77661426,m
Se-OH-Rh,2.396281971259307e-05,68.50866408,68.50852422,21.70457618,m
Se-OH-Ru,1.583501401236443e-05,17.17861334,17.17855811,-22.31654189,l
Se-OH-Sc,4.047156889719529e-05,65.98739336,65.98723421,24.34736249,m
Se-OH-Sm,9.539913381947262e-05,49.64376082,49.64362184,17.81637623,m
Se-OH-Y,3.347992657919661e-05,53.14121088,53.14101197,19.07226921,m
Te-OH-Al,0.013793385599877942,26.17248911,26.17238031,0.42844422,m
Te-OH-Bi,1.8648422842121494e-05,37.73674219,37.73668852,13.02147185,m
Te-OH-Ce,2.6027785181184068e-05,44.88728593,44.88728593,16.21960517,m
Te-OH-Co,0.0064189611599303606,66.88523337,66.88511292,19.85564651,m
Te-OH-Cr,0.015058955848273391,34.24500253,34.24482902,7.86500258,m
Te-OH-Fe,0.014370404685553131,-200.81419126,-200.81364278,6.07202799,l
Te-OH-Ga,0.01161465765826536,-5.80888145,-5.80888145,-21.72601999,l
Te-OH-Gd,2.6815050612529386e-05,42.6705278,42.67056452,15.22879036,m
Te-OH-In,0.016082659145777174,-59.32995238,-59.32962203,-63.78023059,l
Te-OH-Ir,0.01965868294142356,65.05063427,65.05041332,20.85235555,m
Te-OH-La,0.0002799684999554371,37.92078098,37.92078098,12.7593322,m
Te-OH-Lu,0.3175278508040914,39.38869862,39.38869862,12.11886085,m
Te-OH-Nd,1.87979294443349e-05,41.81422369,41.814130299999995,15.39310005,m
Te-OH-Rh,0.013905548012114936,56.098438,56.098438,17.24837621,m
Te-OH-Ru,0.009932253661195451,10.90823984,10.90820662,-18.67643948,l
Te-OH-Sc,0.010563131529505979,47.13550196,47.13536828,17.00005959,m
Te-OH-Sm,1.689199398778332e-05,48.29056711,48.29045445,17.24684435,m
Te-OH-Y,6.595975942589745e-05,43.80739722,43.80727708,13.60234997,m
Br-Br-Ba,7.982248038187362e-07,15.22025103,15.22025103,5.53957667,h
Br-Br-Be,3.11428688416621e-05,48.89419972,48.89418124,10.89529734,m
Br-Br-Ca,4.8129214995419785e-06,21.59265089,21.59261215,8.41472865,h
Br-Br-Cd,2.496023891836484e-05,25.64118262,25.64114384,8.24795181,m
Br-Br-Co,8.802512898745575e-07,47.62857137,47.62851625,15.91924071,h
Br-Br-Cu,0.00011967412606514073,24.36406307,24.36404398,1.67276511,m
Br-Br-Fe,0.001025734690621378,61.72547319,61.72543718,25.60761256,m
Br-Br-Mg,0.0002217551592319645,34.52469541,34.52467605,12.54661843,m
Br-Br-Mn,0.00020867057969052992,33.29522467,33.29520613,6.66593854,m
Br-Br-Ni,0.00036375740133688905,26.41550297,26.41548427,2.11823655,m
Br-Br-Pb,3.6464268813523465e-05,15.88806591,15.88804639,5.61893919,m
Br-Br-Pd,6.800912805228051e-05,10.02902082,10.02902082,-2.618532,l
Br-Br-Pt,3.9303399397932133e-07,4.65768256,4.65768256,-7.43224098,l
Br-Br-Sr,1.6902450444425475e-06,17.28238147,17.28236237,6.74981392,h
Br-Br-Zn,2.5600211759230216e-05,37.27637256,37.2763341,9.62388865,m
Cl-Cl-Ba,1.00542960683322e-05,18.00651953,18.00650218,6.80775559,m
Cl-Cl-Be,0.00035627999860731433,58.03583261,58.03579725,13.41775665,m
Cl-Cl-Ca,8.909929823086765e-06,25.558602,25.55858357,9.94589291,h
Cl-Cl-Cd,1.9344832553220504e-05,27.10396841,27.10394958,9.01150928,m
Cl-Cl-Co,1.1572880378572867e-05,50.104296999999995,50.10426156,15.57167257,m
Cl-Cl-Cu,4.879725929915649e-06,25.82736566,25.82738394,1.4893633,h
Cl-Cl-Fe,2.2082847594090827e-05,70.35517981,70.35514497,27.84875728,m
Cl-Cl-Mg,9.52153758379962e-05,39.99758585,39.99754882,14.7731138,m
Cl-Cl-Mn,3.4031751874065585e-05,27.58327798,27.58325999,0.33982199999999996,m
Cl-Cl-Ni,0.0004861847578634058,21.74216023,21.74216023,-5.09669005,l
Cl-Cl-Pb,6.807383583709197e-05,16.49621978,16.49621978,6.43244607,m
Cl-Cl-Pd,3.143130949712953e-06,-3.87826382,-3.87826382,-9.12842027,l
Cl-Cl-Pt,2.032295172526304e-07,-9.64941392,-9.64941392,-14.89055271,l
Cl-Cl-Sr,3.5358016947627838e-06,21.28537647,21.28535851,8.4057546,h
Cl-Cl-Zn,0.00016052866711064773,40.558878,40.55885945,10.42217566,m
CN-CN-Ba,1.448775349650826e-05,22.1902543,22.19023772,7.97747784,m
CN-CN-Be,0.002017756243930335,42.73682141,42.73680499,0.21090781,m
CN-CN-Ca,1.5991818997188772e-05,32.91993026,32.91989353,12.73316948,m
CN-CN-Cd,1.5703413998842215e-05,37.95906089,37.95904285,11.74958578,m
CN-CN-Co,0.0001770346666174993,39.85068226,39.85066563,19.4312532,m
CN-CN-Cu,0.020739319103003657,20.08028588,20.08026892,-3.09027808,l
CN-CN-Fe,0.0025678147603227213,60.51503332,60.51501658,17.61799341,m
CN-CN-Mg,0.000849267170466224,41.46607194,41.46603681,13.38645421,m
CN-CN-Mn,0.0004942973876510677,81.63494489,81.63494489,40.77973079,m
CN-CN-Ni,0.0017302572367857412,-34.00530687,-34.00527362,-68.47012358,l
CN-CN-Pb,3.8209502232405186e-05,26.68518172,26.68514417,8.013427400000001,m
CN-CN-Pd,5.420513418571022e-06,30.784499600000004,30.784499600000004,-6.56323353,l
CN-CN-Pt,6.7332894565489225e-06,40.63930908,40.63929173,-0.99169053,l
CN-CN-Sr,2.1503165577128188e-05,27.08926579,27.08924712,10.18549269,m
CN-CN-Zn,0.00018877981811201398,44.35673559,44.35671829,9.05970057,m
F-F-Ba,0.000395681869812556,36.21364556,36.21360599,11.00912215,m
F-F-Be,4.9539214399858064e-05,99.18654022,99.18649725,26.82114888,m
F-F-Ca,8.073916456399134e-05,54.45727272,54.45722679,19.62960513,m
F-F-Cd,0.0001199219139370634,49.05877126,49.058755600000005,15.25906436,m
F-F-Co,0.0001381066991790367,48.82835584,48.82834128,8.123482300000001,m
F-F-Cu,0.0031616904346729487,14.40588534,14.40587083,-24.96981618,l
F-F-Fe,0.0002021166491047887,62.70250098,62.70250098,22.92225171,m
F-F-Mg,0.0010482924622014565,72.78395745,72.78395745,28.24970342,m
F-F-Mn,0.0013426977245209464,12.60976314,12.60977928,-10.3817295,l
F-F-Ni,0.0014626559224711227,54.70190026,54.70185694,8.78783546,m
F-F-Pb,2.1152535918558866e-05,36.75905983,36.75902977,11.64003121,m
F-F-Pd,2.0759836709364824e-05,0.58956078,0.58956078,-38.05107709,l
F-F-Pt,1.5670839083751673e-05,26.54506307,26.54504971,-28.08142237,l
F-F-Sr,3.844036432633526e-05,46.30950339,46.30944637,16.55001356,m
F-F-Zn,0.0002055262318622496,60.00759965,60.00756913,18.39998123,m
I-I-Ba,2.00428930901526e-06,11.08948355,11.08948355,4.33151019,h
I-I-Be,0.0006206323100394313,41.79091516,41.79087634,9.60874069,m
I-I-Ca,6.973554696879904e-06,18.16875268,18.16873255,7.06754163,h
I-I-Cd,3.382260322593316e-05,23.43901727,23.43899763,7.30105877,m
I-I-Co,4.712806387240744e-05,55.48661872,55.48658078,19.94715566,m
I-I-Cu,0.007644791261887877,14.7827534,14.782735999999998,-11.44151871,l
I-I-Fe,0.0004257460798771989,63.94825149,63.94817755,25.46814002,m
I-I-Mg,0.0012401705743275884,28.47034366,28.47032368,10.228660000000001,m
I-I-Mn,8.721761422206771e-05,47.87681101,47.87675502,14.50219287,m
I-I-Ni,0.016018169315137075,32.31419369,32.31414772,6.28506788,m
I-I-Pb,4.488075631698725e-06,15.08554499,15.08554499,5.27055912,h
I-I-Pd,2.6864994242903032e-06,-347.70814369,-347.70785773,-365.06426529,l
I-I-Pt,4.462014283581439e-07,22.464485,22.464485,0.06378247,h
I-I-Sr,4.524605687154888e-07,14.14493442,14.14491478,5.54572018,h
I-I-Zn,1.675442639685661e-05,28.34640324,28.34636396,5.75048602,m
NC-NC-Ba,2.5955303242089364e-07,16.41363787,16.41360777,10.011538999999999,h
NC-NC-Be,0.004268830816225702,56.39480599,56.39479016,5.10372502,m
NC-NC-Ca,3.8621921832925425e-05,29.71944903,29.71943183,13.12291737,m
NC-NC-Cd,6.809964484987679e-06,37.96197869,37.96194429,10.65468191,h
NC-NC-Co,0.00023902382342106142,41.70739725,41.70738085,6.03707082,m
NC-NC-Cu,0.005515669822643779,36.94565859,36.94562506,0.5811579000000001,m
NC-NC-Fe,2.02513514624448e-05,38.47078374,38.47075116,16.07252793,m
NC-NC-Mg,5.7359438571980006e-05,50.82976246,50.82974565,17.31167032,m
NC-NC-Mn,7.88817627160707e-05,42.19162948,42.1915963,18.64762745,m
NC-NC-Ni,0.00034698167759014085,-4.50765682,-4.50765682,-42.78647006,l
NC-NC-Pb,3.354052326656939e-05,26.48373335,26.48373335,8.84308928,m
NC-NC-Pd,2.7494959339470857e-05,30.77066973,30.77065226,-0.11681268,l
NC-NC-Pt,4.7722957500795456e-05,29.85683554,29.85681813,-5.63810611,l
NC-NC-Sr,0.00010495440802077766,23.94472415,23.944689800000003,7.07994203,m
NC-NC-Zn,3.619508755116902e-05,51.52095458,51.52092096,13.90284331,m
NCO-NCO-Ba,0.00010497255055922584,26.77535073,26.77533078,8.19514396,m
NCO-NCO-Be,0.001195348499486177,70.13687999,70.1368272,1.18449124,m
NCO-NCO-Ca,1.7651019381385935e-05,45.46201233,45.46195414,16.38460461,m
NCO-NCO-Cd,0.00010741693519837778,48.45512029,48.45508241,14.98540747,m
NCO-NCO-Co,1.4193409998685724e-05,6.72799491,6.72799491,-39.72245512,l
NCO-NCO-Cu,5.590946478561996e-05,41.05657327,41.05653677,1.56375902,m
NCO-NCO-Fe,0.007463250709478402,72.68340956,72.68335666,23.87696992,m
NCO-NCO-Mg,4.655831065947022e-05,59.65985768,59.65980303,19.84355397,m
NCO-NCO-Mn,3.793199304225216e-05,56.60481147,56.60477524,18.57938864,m
NCO-NCO-Ni,0.0018379734336128144,-38.775268,-38.775268,-80.59363216,l
NCO-NCO-Pb,0.00010875289633579148,31.22765886,31.22763844,9.57366575,m
NCO-NCO-Pd,4.9875443535369706e-05,8.26921462,8.26921462,-12.83786565,l
NCO-NCO-Pt,1.4362995137757465e-05,18.8610703,18.8610703,-14.70893568,l
NCO-NCO-Sr,2.8076394162360608e-05,38.5995549,38.5995148,12.57431466,m
NCO-NCO-Zn,2.059513835025309e-05,54.92042542,54.92038899,10.73943268,m
NCS-NCS-Ba,4.902360578119013e-06,26.23775432,26.23773374,9.63034234,h
NCS-NCS-Be,0.00014230960281427763,-26.37088888,-26.37087,-90.96954471,l
NCS-NCS-Ca,1.395249507323473e-05,44.46795494,44.46791403,16.91327752,m
NCS-NCS-Cd,4.0467895360210416e-05,50.23024285,50.23020235,14.578024599999999,m
NCS-NCS-Co,3.778940484460989e-05,65.83860424,65.83856576,10.53452845,m
NCS-NCS-Cu,0.004766432196912293,-1061.01172529,-1061.01108981,-1100.50258119,l
NCS-NCS-Fe,0.0016051401386831788,64.92290725,64.92290725,23.730037699999997,m
NCS-NCS-Mg,3.808193076447458e-05,62.56581615,62.56577663,19.93980367,m
NCS-NCS-Mn,5.808318166902749e-05,77.37740483,77.37738523,20.21397126,m
NCS-NCS-Ni,0.0007473974806514813,27.27446797,27.27444843,-25.411371,l
NCS-NCS-Pb,5.170558188316919e-06,35.46514832,35.46512695,11.32670158,h
NCS-NCS-Pd,7.548815222976936e-05,24.78242644,24.78240621,-11.51460915,l
NCS-NCS-Pt,1.2295802609888495e-05,19.27554189,19.27552232,-21.31081753,l
NCS-NCS-Sr,1.3334244017244673e-05,38.26953371,38.26949194,13.84503081,m
NCS-NCS-Zn,0.00012450673443482226,57.20374704,57.20372738,3.74124132,m
NO-NO-Ba,0.00026595077036026607,13.51016249,13.51014803,4.33616579,m
NO-NO-Be,0.00024283503792847598,82.81127496,82.81125837,6.02378357,m
NO-NO-Ca,3.203841174342408e-05,13.38508074,13.38506236,3.32263165,m
NO-NO-Cd,1.1903530810222507e-06,2.98785087,2.98785087,-10.0972235,l
NO-NO-Co,1.8465694570607254e-06,115.70678551,115.7067514,29.42623753,h
NO-NO-Cu,0.004208070384881666,29.776558299999998,29.776558299999998,4.01976839,m
NO-NO-Fe,2.1078881762572036e-07,132.64277976,132.64276229,34.0008646,h
NO-NO-Mg,0.0047196412144734495,44.43184171,44.43184171,6.98830414,m
NO-NO-Mn,9.955653007222299e-05,167.88055318,167.88050004,61.61121503,m
NO-NO-Ni,0.00421559766063124,85.9690363,85.96898616,21.20488961,m
NO-NO-Pb,0.0018737340445968594,26.17694918,26.17693012,6.03202333,m
NO-NO-Pd,0.0003415526688128158,42.12326389,42.12322951,7.59939276,m
NO-NO-Pt,4.7878718830706206e-05,66.64817243,66.64817243,16.31044285,m
NO-NO-Sr,0.0002093908745315324,19.17990526,19.17988691,3.20906237,m
NO-NO-Zn,0.00015399979990591553,21.9424249,21.9424249,-1.76741981,l
OCN-OCN-Ba,3.356770493367955e-06,22.57997025,22.57995281,8.69072907,h
OCN-OCN-Be,0.0018107525846519754,54.98201985,54.98201985,-9.17813389,l
OCN-OCN-Ca,3.0797512608987745e-05,43.70624449,43.70620863,15.61704127,m
OCN-OCN-Cd,3.4067462700169064e-05,43.05571958,43.05571958,12.84417466,m
OCN-OCN-Co,0.001241377328638162,63.71367117,63.71365365,11.95677083,m
OCN-OCN-Cu,0.003567542382471639,49.41669956,49.41664564,6.38549672,m
OCN-OCN-Fe,0.0018034594578523755,81.09712159,81.09710413,27.46706247,m
OCN-OCN-Mg,0.0013515993851517065,73.26523867,73.26518563,27.20924275,m
OCN-OCN-Mn,8.114176909057253e-05,55.17898311,55.17898311,11.421755000000001,m
OCN-OCN-Ni,0.03749129204094823,57.29077478,57.29073963,8.32412409,m
OCN-OCN-Pb,4.803880941338824e-05,25.57413789,25.57410136,6.980038700000001,m
OCN-OCN-Pd,0.0001482969294231693,31.43531166,31.43529381,-1.14814973,l
