2D,Compounds,E_above_hull
OH-O-Nd,NdO2,0.0
OH-O-Nd,O,0.0
OH-O-Nd,OH-O-Nd,0.20048087437498552
OH-O-Rh,H,0.0
OH-O-Rh,H2O,0.0
OH-O-Rh,HRhO2,0.0
OH-O-Rh,O,0.0
OH-O-Rh,Rh,0.0
OH-O-Rh,RhO2,0.0
OH-O-Rh,OH-O-Rh,0.28872602875000375
OH-O-Ru,H,0.0
OH-O-Ru,H2O,0.0
OH-O-Ru,O,0.0
OH-O-Ru,Ru,0.0
OH-O-Ru,RuO2,0.0
OH-O-Ru,RuO4,0.0
OH-O-Ru,OH-O-Ru,0.31371525770833486
OH-O-Ru,O-O-Ru,0.3252773799999993
OH-O-Sc,H,0.0
OH-O-Sc,H2O,0.0
OH-O-Sc,O,0.0
OH-O-Sc,Sc,0.0
OH-O-Sc,Sc2O3,0.0
OH-O-Sc,ScH2,0.0
OH-O-Sc,OH-O-Sc,0.15033483208333465
OH-O-Sm,H,0.0
OH-O-Sm,H2O,0.0
OH-O-Sm,O,0.0
OH-O-Sm,Sm,0.0
OH-O-Sm,Sm2O3,0.0
OH-O-Sm,SmH2,0.0
OH-O-Sm,SmH3,0.04147602083333268
OH-O-Sm,SmH3O3,0.0
OH-O-Sm,OH-O-Sm,0.19703443145832367
OH-O-Y,H,0.0
OH-O-Y,H2O,0.0
OH-O-Y,O,0.0
OH-O-Y,Y,0.0
OH-O-Y,Y2O3,0.0
OH-O-Y,YH2,0.0
OH-O-Y,YH3,0.04356299958333487
OH-O-Y,YHO2,0.0
OH-O-Y,OH-O-Y,0.21092934249997697
O-O-Ce,Ce,0.0
O-O-Ce,Ce2O3,0.10553532150000322
O-O-Ce,O,0.0
O-O-Ce,O-O-Ce,0.0
O-O-Ge,Ge,0.0
O-O-Ge,GeO2,0.0
O-O-Ge,O,0.0
O-O-Ge,O-O-Ge,0.20160371166666735
O-O-Hf,Hf,0.0
O-O-Hf,HfO2,0.0
O-O-Hf,O,0.0
O-O-Hf,O-O-Hf,0.315539941666664
O-O-Ir,Ir,0.0
O-O-Ir,IrO2,0.0
O-O-Ir,O,0.0
O-O-Ir,O-O-Ir,0.3432976950000004
O-O-Mo,Mo,0.0
O-O-Mo,MoO2,0.0
O-O-Mo,MoO3,0.0
O-O-Mo,O,0.0
O-O-Mo,O-O-Mo,0.4627395225000015
O-O-Os,O,0.0
O-O-Os,Os,0.0
O-O-Os,OsO2,0.0
O-O-Os,OsO4,0.0
O-O-Os,O-O-Os,0.44833120333333554
O-O-Pd,O,0.0
O-O-Pd,Pd,0.0
O-O-Pd,Pd2O3,0.0
O-O-Pd,PdO,0.0
O-O-Pd,PdO2,0.0
O-O-Pd,O-O-Pd,0.0006395716666673934
O-O-Pt,O,0.0
O-O-Pt,Pt,0.0
O-O-Pt,Pt3O4,0.0
O-O-Pt,PtO2,0.0
O-O-Pt,O-O-Pt,0.08510844833333664
O-O-Re,O,0.0
O-O-Re,Re,0.0
O-O-Re,Re2O7,0.0
O-O-Re,ReO2,0.0
O-O-Re,ReO3,0.0
O-O-Re,O-O-Re,0.5198865466666689
O-O-Ru,O,0.0
O-O-Ru,Ru,0.0
O-O-Ru,RuO2,0.0
O-O-Ru,RuO4,0.0
O-O-Ru,O-O-Ru,0.3252773799999993
O-O-Sn,O,0.0
O-O-Sn,Sn,0.0
O-O-Sn,SnO,0.024041081249997376
O-O-Sn,SnO2,0.0
O-O-Sn,O-O-Sn,0.2554257199999981
O-O-Tc,O,0.0
O-O-Tc,Tc,0.0
O-O-Tc,Tc2O7,0.0
O-O-Tc,TcO2,0.0
O-O-Tc,O-O-Tc,0.24046482000000324
O-O-Te,O,0.0
O-O-Te,Te,0.0
O-O-Te,Te2O5,0.0
O-O-Te,TeO2,0.0
O-O-Te,TeO3,0.0
O-O-Te,O-O-Te,0.5624749370833335
O-O-Ti,O,0.0
O-O-Ti,Ti,0.0
O-O-Ti,Ti2O,0.0
O-O-Ti,Ti2O3,0.0
O-O-Ti,Ti3O,0.0
O-O-Ti,Ti3O5,0.0016128724999973088
O-O-Ti,Ti6O,0.0
O-O-Ti,TiO,0.0
O-O-Ti,TiO2,0.0
O-O-Ti,O-O-Ti,0.20168573166666448
O-O-W,O,0.0
O-O-W,W,0.0
O-O-W,WO2,0.0
O-O-W,WO3,0.0
O-O-W,O-O-W,0.47723694750000334
O-O-Zr,O,0.0
O-O-Zr,Zr,0.0
O-O-Zr,Zr3O,0.0
O-O-Zr,ZrO2,0.0
O-O-Zr,O-O-Zr,0.3136084491666651
NH-OH-Al,Al,0.0
NH-OH-Al,Al2O3,0.0
NH-OH-Al,AlH3,0.4017842956249993
NH-OH-Al,AlHO2,0.0
NH-OH-Al,AlN,0.0
NH-OH-Al,H,0.0
NH-OH-Al,H2O,0.0
NH-OH-Al,H3N,0.12192028812499967
NH-OH-Al,H3NO4,0.0
NH-OH-Al,HNO3,0.0
NH-OH-Al,N,0.0
NH-OH-Al,NO2,0.0
NH-OH-Al,O,0.0
NH-OH-Al,OH-O-Al,0.22894560499999983
NH-OH-Al,NH-OH-Al,0.2909408336666681
NH-OH-Al,NH-NO-Al,0.954243467666668
NH-OH-Al,O-NO-Al,0.8085677109374974
NH-OH-Bi,Bi,0.0
NH-OH-Bi,Bi2O3,0.0
NH-OH-Bi,Bi4O7,0.0
NH-OH-Bi,BiO2,0.0
NH-OH-Bi,H,0.0
NH-OH-Bi,H2O,0.0
NH-OH-Bi,H3N,0.12192028812499967
NH-OH-Bi,H3NO4,0.0
NH-OH-Bi,HNO3,0.0
NH-OH-Bi,N,0.0
