Compound,Formation_energy,E_above_hull
CN-CN-Ni,0.922866166,0.927147846
CN-CN-Pb,0.7613786,0.765655401
CN-CN-Pd,0.913316874,0.917596758
CN-CN-Pt,0.977883386,0.982159227
CN-CN-Sr,-0.100964206,0.709726657
CN-CN-Zn,0.75543406,0.890008161
F-F-Ba,-3.86411582,0.274655883
F-F-Be,-3.186598387,0.299741853
F-F-Ca,-4.035629393,0.210818317
F-F-Cd,-2.28580987,0.15824359
F-F-Co,-2.17949004,0.057505115
F-F-Cu,-1.627648177,0.234172187
F-F-Fe,-2.16979648,0.204965377
F-F-Mg,-3.694654823,0.149489887
F-F-Mn,-2.624683923,0.341384402
F-F-Ni,-2.208149603,0.129394308
F-F-Pb,-2.26214717,0.203337897
F-F-Pd,-1.292792517,0.091016015
F-F-Pt,-0.557637723,0.629371133
F-F-Sr,-3.996495597,0.244533227
F-F-Zn,-2.428196,0.123916597
I-I-Ba,-1.94415893,0.089390477
I-I-Be,-0.346379823,0.294545998
I-I-Ca,-1.812911573,0.01547907
I-I-Cd,-0.649644023,0.017246379
I-I-Co,-0.15173305,0.01799117
I-I-Cu,-0.032776833,0.086242567
I-I-Fe,-0.068319707,0.23744741
I-I-Mg,-1.18340106,0.015307643
I-I-Mn,-0.812479603,0.07068151
I-I-Ni,-0.346231797,0.018735507
I-I-Pb,-0.65550436,0.018446166
I-I-Pd,-0.15278374,0.139884947
I-I-Pt,0.06681862,0.285737116
I-I-Sr,-1.902005337,0.020355038
I-I-Zn,-0.503178677,0.14171972
NC-NC-Ba,-0.237819972,0.508513271
NC-NC-Be,0.56288523,1.004880727
NC-NC-Ca,-0.213145098,0.632809081
NC-NC-Cd,0.675646876,0.694201614
NC-NC-Co,0.818935042,0.823220263
NC-NC-Cu,1.06401717,1.068302364
NC-NC-Fe,0.792837396,0.853785011
NC-NC-Mg,0.090249556,0.73011331
NC-NC-Mn,0.488854444,0.673127607
NC-NC-Ni,0.769766192,0.774047872
NC-NC-Pb,0.732690686,0.736967487
NC-NC-Pd,1.217859554,1.222139438
NC-NC-Pt,1.429890228,1.434166069
NC-NC-Sr,-0.238937636,0.571753227
NC-NC-Zn,0.672424268,0.806998369
NCO-NCO-Ba,-1.080459394,0.277471513
NCO-NCO-Be,-0.693205376,0.474004913
NCO-NCO-Ca,-1.145771791,0.239486204
NCO-NCO-Cd,-0.551412496,0.184299422
NCO-NCO-Co,-0.489132239,0.225074792
NCO-NCO-Cu,-0.294966473,0.276508936
NCO-NCO-Fe,-0.508954647,0.219860391
NCO-NCO-Mg,-0.98301524,0.269212636
NCO-NCO-Mn,-0.730334519,0.254366389
NCO-NCO-Ni,-0.537234206,0.190026355
NCO-NCO-Pb,-0.467281317,0.243249994
NCO-NCO-Pd,-0.258601944,0.312869672
NCO-NCO-Pt,-0.07070324,0.500765489
NCO-NCO-Sr,-1.124082456,0.267043742
NCO-NCO-Zn,-0.582305224,0.233794845
NCS-NCS-Ba,-0.465582216,0.239984466
NCS-NCS-Be,0.152451044,0.514682511
NCS-NCS-Ca,-0.487276406,0.218694923
NCS-NCS-Cd,0.131940328,0.352832536
NCS-NCS-Co,0.299793907,0.530733974
NCS-NCS-Cu,0.367701521,0.449138697
NCS-NCS-Fe,0.234372989,0.499950778
NCS-NCS-Mg,-0.256073593,0.230170384
NCS-NCS-Mn,0.021968821,0.359969561
NCS-NCS-Ni,0.212432738,0.415824537
NCS-NCS-Pb,0.160884737,0.326703382
NCS-NCS-Pd,0.396605684,0.556714289
NCS-NCS-Pt,0.571948549,0.803245379
NCS-NCS-Sr,-0.488081053,0.219483285
NCS-NCS-Zn,0.146936424,0.421630051
NO-NO-Ba,-0.433359888,0.875353666
NO-NO-Be,-0.09661036,1.176168464
NO-NO-Ca,-0.446872354,1.014594739
NO-NO-Cd,0.321854772,0.866853189
NO-NO-Co,-0.080480816,0.678531974
NO-NO-Cu,0.16781645,0.567872995
NO-NO-Fe,-0.09524522,0.744438045
NO-NO-Mg,-0.107160786,1.1579687
NO-NO-Mn,-0.183261442,1.150624111
NO-NO-Ni,-0.058668182,0.545772756
NO-NO-Pb,0.311638542,0.915111993
NO-NO-Pd,0.12765372,0.456975074
NO-NO-Pt,0.179743526,0.641598007
NO-NO-Sr,-0.433841184,0.968185556
NO-NO-Zn,0.178235084,0.885156782
OCN-OCN-Ba,-0.813351934,0.544578973
OCN-OCN-Be,-0.281486501,0.885723787
OCN-OCN-Ca,-0.797654389,0.587603607
OCN-OCN-Cd,-0.105923866,0.629788052
OCN-OCN-Co,0.008432876,0.722639907
OCN-OCN-Cu,0.091854644,0.663330054
OCN-OCN-Fe,-0.054891793,0.673923246
OCN-OCN-Mg,-0.601426231,0.650801645
