Compound,E_above_hull
NCO-NCO-Pt,0.5007654885714317
NCO-NCO-Sr,0.2670437417063525
NCO-NCO-Zn,0.2337948448214302
NCS-NCS-Ba,0.23998446571427934
NCS-NCS-Be,0.5146825106361614
NCS-NCS-Ca,0.21869492349330244
NCS-NCS-Cd,0.352832535993306
NCS-NCS-Co,0.5307339742857113
NCS-NCS-Cu,0.44913869730282663
NCS-NCS-Fe,0.49995077785714237
NCS-NCS-Mg,0.23017038392857003
NCS-NCS-Mn,0.35996956135044655
NCS-NCS-Ni,0.4158245371428517
NCS-NCS-Pb,0.3267033820647356
NCS-NCS-Pd,0.556714288571424
NCS-NCS-Pt,0.8032453792857055
NCS-NCS-Sr,0.21948328492187663
NCS-NCS-Zn,0.42163005135044607
NO-NO-Ba,0.8753536662000094
NO-NO-Be,1.1761684635000025
NO-NO-Ca,1.014594739400005
NO-NO-Cd,0.8668531894999987
NO-NO-Co,0.6785319743333371
NO-NO-Cu,0.5678729950000037
NO-NO-Fe,0.744438044999999
NO-NO-Mg,1.1579686995000005
NO-NO-Mn,1.1506241114999938
NO-NO-Ni,0.5457727558000052
NO-NO-Pb,0.9151119930714309
NO-NO-Pd,0.4569750742499963
NO-NO-Pt,0.6415980070000131
NO-NO-Sr,0.968185556100007
NO-NO-Zn,0.885156781500001
OCN-OCN-Ba,0.5445789732142909
OCN-OCN-Be,0.8857237874999999
OCN-OCN-Ca,0.5876036070238104
OCN-OCN-Cd,0.6297880517857166
OCN-OCN-Co,0.7226399066666627
OCN-OCN-Cu,0.6633300535714284
OCN-OCN-Fe,0.673923245714283
OCN-OCN-Mg,0.6508016448214313
OCN-OCN-Mn,0.7191416750595234
OCN-OCN-Ni,0.635547362321434
OCN-OCN-Pb,0.6096404295238145
OCN-OCN-Pd,0.8220625664285706
OCN-OCN-Pt,1.0188397028571465
OCN-OCN-Sr,0.5872811731349241
OCN-OCN-Zn,0.6771485191071456
SCN-SCN-Ba,0.49683823571428043
SCN-SCN-Be,0.6924315034933048
SCN-SCN-Ca,0.5391003749218761
SCN-SCN-Cd,0.5496847659933053
SCN-SCN-Co,0.6080152028571408
SCN-SCN-Cu,0.5758364587313984
SCN-SCN-Fe,0.6298391878571437
SCN-SCN-Mg,0.5429537210714273
SCN-SCN-Mn,0.7202924413504466
SCN-SCN-Ni,0.5556716185714254
SCN-SCN-Pb,0.5502121220647354
SCN-SCN-Pd,0.6480318842857109
SCN-SCN-Pt,0.8121447292857056
SCN-SCN-Sr,0.5284402220647326
SCN-SCN-Zn,0.614055831350445
SH-SH-Ba,0.2524672950000113
SH-SH-Be,0.43663996989062603
SH-SH-Ca,0.21190967989062415
SH-SH-Cd,0.23572331339062558
SH-SH-Co,0.33656295899999833
SH-SH-Cu,0.31786891522395955
SH-SH-Fe,0.3567270099999984
SH-SH-Mg,0.1976202005000065
SH-SH-Mn,0.4736030368906263
SH-SH-Ni,0.26010264499999813
SH-SH-Pb,0.2565826918906211
SH-SH-Pd,0.42470842700000233
SH-SH-Pt,0.6379815200000003
SH-SH-Sr,0.19611159989062443
SH-SH-Zn,0.32636533489062636
NH-NH-Ce,0.05373247600000042
NH-NH-Ge,0.15158719799999965
NH-NH-Hf,0.09554273999999552
NH-NH-Ir,0.43283879599999864
NH-NH-Mo,0.17971396575000043
NH-NH-Os,0.4966583710000023
NH-NH-Pd,0.4653696329999981
NH-NH-Pt,0.2674013600000009
NH-NH-Re,0.28598553133333127
NH-NH-Ru,0.30930667099999987
NH-NH-Sn,0.09673772799999902
NH-NH-Tc,0.2509359974999974
NH-NH-Te,0.6962423539999989
NH-NH-Ti,0.1862574600000002
NH-NH-W,0.13020930400000097
NH-NH-Zr,0.1582706863333314
PH-PH-Ce,0.5402753585238074
PH-PH-Ge,0.5341925615476164
PH-PH-Hf,0.47133640702381285
PH-PH-Ir,0.5045117254999987
PH-PH-Mo,0.4714186570000116
PH-PH-Os,0.6348164990000029
PH-PH-Pd,0.5037997039999969
PH-PH-Pt,0.46779295850000224
PH-PH-Re,0.5798570315714464
PH-PH-Ru,0.6082175509999992
PH-PH-Sn,0.4366456734444455
PH-PH-Tc,0.5677511763333403
PH-PH-Te,0.6465915210476165
PH-PH-Ti,0.48884589849999927
PH-PH-W,0.4452996890000023
PH-PH-Zr,0.5462758179999962
S-S-Ce,0.0
S-S-Ge,0.15554968541666625
S-S-Hf,0.017196876666666583
S-S-Ir,0.23830391499999948
S-S-Mo,0.3239610566666684
S-S-Os,0.4816641383333362
S-S-Pd,0.11530935166666723
S-S-Pt,0.01625398000000189
S-S-Re,0.44502501166666164
S-S-Ru,0.4837155441666674
S-S-Sn,0.015477176666667702
S-S-Tc,0.38296671750000044
S-S-Te,0.0
S-S-Ti,0.0
S-S-W,0.3132340333333339
S-S-Zr,0.017978953333333436
Se-Se-Ce,0.0
Se-Se-Ge,0.17398146500000067
Se-Se-Hf,0.01695926333333375
Se-Se-Ir,0.2062555387499998
Se-Se-Mo,0.28342343499999956
Se-Se-Os,0.39785249083332985
Se-Se-Pd,0.043086531666670425
Se-Se-Pt,0.00695830333333447
Se-Se-Re,0.44413816249999627
Se-Se-Ru,0.3829214441666622
Se-Se-Sn,0.01937793999999826
Se-Se-Tc,0.0
Se-Se-Te,0.0
Se-Se-Ti,0.007020485000001742
Se-Se-W,0.282919568333341
Se-Se-Zr,0.019889740000003542
Te-Te-Ce,0.20352599499999258
Te-Te-Ge,0.10716101666666233
Te-Te-Hf,0.028003683333331253
Te-Te-Ir,0.15329231888888728
Te-Te-Mo,0.19703453500000023
Te-Te-Os,0.39042084333333804
Te-Te-Pd,0.11343454000000008
Te-Te-Pt,0.043760103333340794
Te-Te-Re,0.22135941333332454
Te-Te-Ru,0.3943421333333319
Te-Te-Sn,0.0663636666666676
Te-Te-Tc,0.0
Te-Te-Ti,0.028722020000003567
Te-Te-W,0.25254591083333366
Te-Te-Zr,0.03258920666666398
NH-Br-Al,0.2247043351562521
NH-Br-Bi,0.32619827093750686
NH-Br-Ce,0.3246291479166672
NH-Br-Co,0.2808925414062511
NH-Br-Cr,0.16487062773148153
NH-Br-Fe,0.39322072750000103
NH-Br-Ga,0.23354774312499949
NH-Br-Gd,0.03374824583334046
NH-Br-In,0.08044680624999856
NH-Br-Ir,0.4646395946875046
NH-Br-La,0.0
NH-Br-Lu,0.0
NH-Br-Nd,0.013844280416670074
NH-Br-Rh,0.29212618875000373
NH-Br-Ru,0.41227874468749803
NH-Br-Sc,0.13411229541666714
NH-Br-Sm,0.018148314583335434
NH-Br-Y,0.0
NH-Cl-Al,0.10820449583333414
NH-Cl-Bi,0.31360123951389696
NH-Cl-Ce,0.35251259416666514
NH-Cl-Co,0.16515991541666786
NH-Cl-Cr,0.0750199193055554
NH-Cl-Fe,0.24436884749999876
NH-Cl-Ga,0.12757063333333463
NH-Cl-Gd,0.03610950500000243
NH-Cl-In,0.044754603796294035
NH-Cl-Ir,0.24663389375000477
NH-Cl-La,0.09441891791666279
NH-Cl-Lu,0.0
NH-Cl-Nd,0.09289332999999544
NH-Cl-Rh,0.10003525937500157
NH-Cl-Ru,0.2693530529166672
NH-Cl-Sc,0.10199407520833503
NH-Cl-Sm,0.0
NH-Cl-Y,0.05417231249999688
NH-CN-Al,0.6084626714999981
NH-CN-Bi,0.6624406041666653
NH-CN-Ce,0.33215879649999636
NH-CN-Co,0.4601767384999995
NH-CN-Cr,0.4930343844999996
NH-CN-Fe,0.5409982164999967
NH-CN-Ga,0.6147454124999978
NH-CN-Gd,0.3609004264999953
NH-CN-In,0.44694572449999903
NH-CN-Ir,0.6329245945000004
NH-CN-La,0.24166559349999694
NH-CN-Lu,0.5084987723749954
NH-CN-Nd,0.3133433944999968
NH-CN-Rh,0.4797796295000012
NH-CN-Ru,0.5816441394999998
NH-CN-Sc,0.5015256624999971
NH-CN-Sm,0.49638713062499384
NH-CN-Y,0.37258821649999696
NH-F-Al,0.2104466540833334
NH-F-Bi,0.3835576426388947
NH-F-Ce,0.05374996305555868
NH-F-Co,0.05425046312499937
NH-F-Cr,0.0970521354166678
NH-F-Fe,0.17311112999999878
NH-F-Ga,0.19230645125000123
NH-F-Gd,0.09835783250000318
NH-F-In,0.09527686049999495
NH-F-Ir,0.3388583301562491
NH-F-La,0.11105443499999978
NH-F-Lu,0.05337636416666669
NH-F-Nd,0.1693891723611145
NH-F-Rh,0.11455209212500073
NH-F-Ru,0.25828901412500116
NH-F-Sc,0.17185679250000163
NH-F-Sm,0.17386159791666955
NH-F-Y,0.10150162777777894
NH-I-Al,0.4807141976041649
NH-I-Bi,0.36131611555556375
NH-I-Ce,0.40197330791666985
NH-I-Co,0.46954872749999765
NH-I-Cr,0.30282867843749983
NH-I-Fe,0.5614406100000018
NH-I-Ga,0.4420994865625012
NH-I-Gd,0.8359476337499991
NH-I-In,0.20595895499999983
NH-I-Ir,0.6122020840624991
NH-I-La,0.0
NH-I-Lu,0.0977107404166695
NH-I-Nd,0.009275029166669668
NH-I-Rh,0.4347257320312501
NH-I-Ru,0.5100300903124975
NH-I-Sc,0.14658472187499783
NH-I-Sm,0.017567512500004767
NH-I-Y,0.09358731791667196
NH-NC-Al,0.502739361499998
NH-NC-Bi,0.6752068041666632
NH-NC-Ce,0.2839249564999964
NH-NC-Co,0.44827136450000005
NH-NC-Cr,0.44614896049999864
NH-NC-Fe,0.5314612324999963
NH-NC-Ga,0.5539414324999967
NH-NC-Gd,0.2885842324999963
NH-NC-In,0.3995077924999979
NH-NC-Ir,0.7271362144999998
NH-NC-La,0.1738907614999956
NH-NC-Lu,0.42068066837499174
NH-NC-Nd,0.2372970284999969
NH-NCO-Al,0.35142918680555546
NH-NCO-Bi,0.3293332361689849
NH-NCO-Ce,0.5261916195833383
NH-NCO-Co,0.20638677874999978
NH-NCO-Cr,0.28409993874999806
NH-NCO-Fe,0.237078119444444
NH-NCO-Ga,0.2650378179166655
NH-NCO-Gd,0.1582430720833372
NH-NCO-In,0.21388735368055478
NH-NCO-Ir,0.3391570192857145
NH-NCO-La,0.40898120671874594
NH-NCO-Lu,0.3727634276388869
NH-NCO-Nd,0.4357670877083315
NH-NCO-Rh,0.18565508845237844
NH-NCO-Ru,0.26289336011904574
NH-NCO-Sc,0.3226880697222203
NH-NCO-Sm,0.4295918885416601
NH-NCO-Y,0.41411583770833005
NH-NC-Rh,0.5354780115000004
NH-NC-Ru,0.6535264635000004
NH-NCS-Al,0.28040359115885316
NH-NCS-Bi,0.4409730865740755
NH-NC-Sc,0.40487043249999566
NH-NCS-Ce,0.23036847208333278
NH-NCS-Co,0.42289525381945126
NH-NCS-Cr,0.4590828976388881
NH-NCS-Fe,0.5271703845833358
NH-NCS-Ga,0.3655182862499995
NH-NCS-Gd,0.17678517374999814
NH-NCS-In,0.32058887999999897
NH-NCS-Ir,0.5484465970833341
NH-NCS-La,0.34580315444445375
NH-NCS-Lu,0.2949751967361074
NH-NC-Sm,0.4235939246249938
NH-NCS-Nd,0.32610665583333187
NH-NCS-Rh,0.460602503819441
NH-NCS-Ru,0.5590837527083323
NH-NCS-Sc,0.26417520513888704
NH-NCS-Sm,0.37287626618055114
NH-NCS-Y,0.26316588162037213
NH-NC-Y,0.29266308449999556
NH-NO-Al,0.954243467666668
NH-NO-Bi,0.8872701898888913
NH-NO-Ce,0.781040603000001
NH-NO-Co,0.6484848680000006
NH-NO-Cr,0.8355647200000007
NH-NO-Fe,0.6130289128333342
NH-NO-Ga,0.7914230589999995
NH-NO-Gd,0.7481873119999989
NH-NO-In,0.8012888259166662
NH-NO-Ir,0.7124759366666709
NH-NO-La,0.8649974507499998
NH-NO-Lu,0.9574457094166675
NH-NO-Nd,0.8999822324999993
NH-NO-Rh,0.641849394277779
NH-NO-Ru,0.5989505626666691
NH-NO-Sc,0.9672944851666667
NH-NO-Sm,0.9275348325000028
NH-NO-Y,0.9465040229166668
NH-OCN-Al,0.5845841284722226
NH-OCN-Bi,0.5462534728356516
NH-OCN-Ce,0.43481207791666954
NH-OCN-Co,0.452055667083334
NH-OCN-Cr,0.5230825870833318
NH-OCN-Fe,0.5358370377777781
NH-OCN-Ga,0.5053762095833321
NH-OCN-Gd,2.477422882083337
NH-OCN-In,0.44956835368055437
NH-OCN-Ir,0.6242268626190466
NH-OCN-La,0.58797797005208
NH-OCN-Lu,0.5901815493055516
NH-OCN-Nd,0.6335570293749999
NH-OCN-Rh,0.44865268011904647
NH-OCN-Ru,0.5544511517857131
NH-OCN-Sc,0.5461312647222218
NH-OCN-Sm,0.634806288541661
NH-OCN-Y,0.62736810770833
NH-SCN-Al,0.5181528761588527
NH-SCN-Bi,0.6342063999074092
NH-SCN-Ce,0.42984330041666396
NH-SCN-Co,0.5524385054861174
NH-SCN-Cr,0.512413797638887
NH-SCN-Fe,0.6374564645833374
NH-SCN-Ga,0.5458050779166665
NH-SCN-Gd,0.36638914708333203
NH-SCN-In,0.48914601333333074
NH-SCN-Ir,0.5835645520833346
NH-SCN-La,0.5266265877777876
NH-SCN-Lu,0.5062540084027738
NH-SCN-Nd,0.5061725991666659
NH-SCN-Rh,0.5815201938194416
NH-SCN-Ru,0.7130260477083308
NH-SCN-Sc,0.47327248347222195
NH-SCN-Sm,0.5676863745138849
NH-SCN-Y,0.46896391995370657
NH-SH-Al,0.34608505289062474
NH-SH-Bi,0.5059974053888823
NH-SH-Ce,0.5698977199999931
NH-SH-Co,0.4076655200833308
NH-SH-Cr,0.4306716626666649
NH-SH-Fe,0.5125241929999991
NH-SH-Ga,0.41520269499999785
NH-SH-Gd,0.19163636599999379
NH-SH-In,0.34658068149999366
NH-SH-Ir,0.4501540900000016
NH-SH-La,0.3842098408333481
NH-SH-Lu,0.29703776433332507
NH-SH-Nd,0.35890352649998825
NH-SH-Rh,0.45820467808333376
NH-SH-Ru,0.6013487407500016
NH-SH-Sc,0.3183118976666641
NH-SH-Sm,0.34383312474999705
NH-SH-Y,0.3097088494444389
O-Br-Al,0.4589683208333373
O-Br-Bi,0.33356805500000064
O-Br-Ce,0.0
O-Br-Co,0.4980542602083382
O-Br-Cr,0.4345940129629682
O-Br-Fe,0.24352279847222746
O-Br-Ga,0.38785812944444764
O-Br-Gd,0.2922260116666635
O-Br-In,0.24618345666667452
O-Br-Ir,0.6884720874999957
O-Br-La,0.35080789500000265
O-Br-Lu,0.2633099566666708
O-Br-Nd,0.32789418833332107
O-Br-Rh,0.4414529977777768
O-Br-Ru,0.47665863027777533
O-Br-Sc,0.23531649833334
O-Br-Sm,0.31517108666666616
O-Br-Y,0.09732054291668035
O-Cl-Al,0.2811717455555591
O-Cl-Bi,0.3514085566666729
O-Cl-Ce,0.3039496766666545
O-Cl-Co,0.32635940000000296
O-Cl-Cr,0.297532445740714
O-Cl-Fe,0.3989973716666668
O-Cl-Ga,0.2244912927777829
O-Cl-Gd,1.306857441666665
O-Cl-In,0.18156434499999818
O-Cl-Ir,0.2980877075000059
O-Cl-La,0.36003187000000025
O-Cl-Lu,0.0
O-Cl-Nd,0.33993653166666604
O-Cl-Rh,0.20302568083333838
O-Cl-Ru,0.3620110263888918
O-Cl-Sc,0.17379324500000237
O-Cl-Sm,0.31139914999999974
O-Cl-Y,0.24784999333333246
O-CN-Al,0.8111075077083321
O-CN-Bi,0.6642383629861079
O-CN-Ce,0.7635207743749994
O-CN-Co,0.8059583031249993
O-CN-Cr,0.6940966706249974
O-CN-Fe,0.7203120341666658
O-CN-Ga,0.7793388368750005
O-CN-Gd,1.0975954990624963
O-CN-In,0.6461786405208318
O-CN-Ir,0.9578057799999975
O-CN-La,0.5895329825781239
O-CN-Lu,0.6398817914583184
O-CN-Nd,0.6782726040624993
O-CN-Rh,0.6992691162500027
O-CN-Ru,0.7642844462500022
O-CN-Sc,0.6130219520833311
O-CN-Sm,0.6874823603124973
O-CN-Y,0.6837835340624974
O-F-Al,0.25586507322222474
O-F-Bi,0.31054304484848316
O-F-Ce,0.0
O-F-Co,0.055570637407408086
O-F-Cr,0.2087073872222227
O-F-Fe,0.16512155166666886
O-F-Ga,0.15824979685185525
O-F-Gd,0.0
O-F-In,0.214684758333334
O-F-Ir,0.39121048472222597
O-F-La,0.36114809999999764
O-F-Lu,0.30734487708333447
O-F-Nd,0.39763039333332273
O-F-Rh,0.12791478888888896
O-F-Ru,0.2560155141666698
O-F-Sc,0.25107624249999816
O-F-Sm,0.38819210999999854
O-F-Y,0.1791018418981558
O-I-Al,0.8741265575000092
O-I-Bi,0.27646962791669694
O-I-Ce,0.0
O-I-Co,0.5393563825000065
O-I-Cr,0.6977189983333396
O-I-Fe,0.40719590416667373
O-I-Ga,0.7136053711111181
O-I-Gd,0.38055902666666697
O-I-In,0.4268918293055606
O-I-Ir,0.786207964166671
O-I-La,0.15403153402778358
O-I-Lu,0.2727640129166744
O-I-Nd,0.1525468397222305
O-I-Rh,0.6117577958333484
O-I-Ru,0.6695522824999962
O-I-Sc,0.39144739250002303
O-I-Sm,0.16111403416667258
O-I-Y,0.25940346541667836
O-NC-Al,0.6690025277083329
O-NC-Bi,0.6591180029861086
O-NC-Ce,0.6737972818750002
O-NC-Co,0.7945524081249999
O-NC-Cr,0.6252292156249979
O-NC-Fe,0.7019162766666653
O-NC-Ga,0.6948035018750005
O-NC-Gd,1.0054441990624987
O-NC-In,0.5887945130208312
O-NC-Ir,1.1205426275000008
O-NC-La,0.5003463825781225
O-NC-Lu,0.5277230839583176
O-NC-Nd,0.5850057990625004
O-NCO-Al,0.31795265124999794
O-NCO-Bi,0.22887640224999473
O-NCO-Ce,0.23248419850000346
O-NCO-Co,0.34209004483333594
O-NCO-Cr,0.2715924022499969
O-NCO-Fe,0.27766719349999747
O-NCO-Ga,0.25685732574999776
O-NCO-Gd,0.5389787860000084
O-NCO-In,0.2215701391249958
O-NCO-Ir,0.5512145894999989
O-NCO-La,0.1646868588749939
O-NCO-Lu,0.2279925623749932
O-NCO-Nd,0.18345128199999294
O-NCO-Rh,0.298655654500001
O-NCO-Ru,0.33466848049999953
O-NCO-Sc,0.2195667559999972
